run_id,backend,config,n_concurrency,decision_staleness_prob_s,n_decisive,mean_decisive_latency_ms
concurrency_n10_20260617_221536_redis_feed2_rep3,redis,cluster,10,13.633049827933512,3,16380.173911666667
concurrency_n10_20260617_221536_redis_feed3_rep1,redis,cluster,10,12.132926432752097,3,14579.734578333335
concurrency_n10_20260617_221536_redis_feed3_rep2,redis,cluster,10,12.312689027217134,3,14794.359178333334
concurrency_n10_20260617_221536_redis_feed3_rep3,redis,cluster,10,14.55949061780099,3,17494.611845000003
concurrency_n10_20260617_221536_redis_feed4_rep1,redis,cluster,10,13.448152163836461,3,16160.781378333333
concurrency_n10_20260617_221536_redis_feed4_rep2,redis,cluster,10,11.10007435347655,3,13337.425811666668
concurrency_n10_20260617_221536_redis_feed4_rep3,redis,cluster,10,13.307977920005968,3,15990.246545
concurrency_n10_20260617_221536_redis_feed5_rep1,redis,cluster,10,12.260003152362387,3,14732.579744999997
concurrency_n10_20260617_221536_redis_feed5_rep2,redis,cluster,10,11.05578012105864,3,13284.182845000001
concurrency_n10_20260617_221536_redis_feed5_rep3,redis,cluster,10,15.096698939084227,3,18140.402778333337
concurrency_n10_20260617_221536_redis_feed6_rep1,redis,cluster,10,12.809905867862485,3,15393.465878333334
concurrency_n10_20260617_221536_redis_feed6_rep2,redis,cluster,10,12.23617537984832,3,14702.353611666666
concurrency_n10_20260617_221536_redis_feed6_rep3,redis,cluster,10,13.537760602914766,3,16266.559644999996
concurrency_n10_20260617_221536_redis_feed7_rep1,redis,cluster,10,13.395700413208512,3,16097.606211666667
concurrency_n10_20260617_221536_redis_feed7_rep2,redis,cluster,10,12.221780331010109,3,14684.629878333333
concurrency_n10_20260617_221536_redis_feed7_rep3,redis,cluster,10,15.060400051320821,3,18096.759578333335
concurrency_n10_20260617_221536_redis_feed8_rep1,redis,cluster,10,13.163843287485784,3,15818.813645000002
concurrency_n10_20260617_221536_redis_feed8_rep2,redis,cluster,10,12.173636793725837,3,14627.119311666667
concurrency_n10_20260617_221536_redis_feed8_rep3,redis,cluster,10,13.89771745195915,3,16699.119811666667
concurrency_n10_20260617_221536_redis_feed9_rep1,redis,cluster,10,13.894783016254568,3,16697.511645000002
concurrency_n10_20260617_221536_redis_feed9_rep2,redis,cluster,10,11.655177667597588,3,14004.092878333335
concurrency_n10_20260617_221536_redis_feed9_rep3,redis,cluster,10,14.951734676981957,3,17966.038311666664
concurrency_n1_20260617_215247_kafka_feed1_rep1,kafka,single,1,2.054289783876225,3,2468.2326783333333
concurrency_n1_20260617_215247_redis_feed1_rep1,redis,single,1,0.01855734237441454,3,22.319711666666667
concurrency_n1_20260617_215826_kafka_feed1_rep1,kafka,single,1,0.015532546739836273,3,18.678411666666666
concurrency_n1_20260617_215826_kafka_feed1_rep2,kafka,single,1,0.006891434770830594,3,8.288345
concurrency_n1_20260617_215826_kafka_feed1_rep3,kafka,single,1,0.020684778395024448,3,24.873311666666666
concurrency_n1_20260617_215826_redis_feed1_rep1,redis,single,1,0.005196332470886312,3,6.248378333333334
concurrency_n1_20260617_215826_redis_feed1_rep2,redis,single,1,0.016390535098311277,3,19.732944999999997
concurrency_n1_20260617_215826_redis_feed1_rep3,redis,single,1,0.020709304061772967,3,24.854411666666664
concurrency_n1_20260617_221033_kafka_feed1_rep1,kafka,cluster,1,0.031078747285907322,3,37.31681166666667
concurrency_n1_20260617_221033_kafka_feed1_rep2,kafka,cluster,1,0.02483175079444808,3,29.883445
concurrency_n1_20260617_221033_kafka_feed1_rep3,kafka,cluster,1,0.019801790443625032,3,23.788611666666668
concurrency_n1_20260617_221033_redis_feed1_rep1,redis,cluster,1,1.682050582954632,3,2021.4850783333331
concurrency_n1_20260617_221033_redis_feed1_rep2,redis,cluster,1,1.8197181633772828,3,2186.583945
concurrency_n1_20260617_221033_redis_feed1_rep3,redis,cluster,1,1.340576880784593,3,1611.0287783333333
concurrency_n20_20260617_220558_kafka_feed10_rep1,kafka,single,20,2.5760107646746317,3,3098.2433116666666
concurrency_n20_20260617_220558_kafka_feed10_rep2,kafka,single,20,0.22375609110827782,3,269.365145
concurrency_n20_20260617_220558_kafka_feed10_rep3,kafka,single,20,1.468101907421646,3,1764.939745
concurrency_n20_20260617_220558_kafka_feed11_rep1,kafka,single,20,3.286651087177958,3,3953.5880116666667
concurrency_n20_20260617_220558_kafka_feed11_rep2,kafka,single,20,1.227669865736926,3,1475.5388783333335
concurrency_n20_20260617_220558_kafka_feed11_rep3,kafka,single,20,1.6178230880986664,3,1944.290945
concurrency_n20_20260617_220558_kafka_feed12_rep1,kafka,single,20,2.3670395972763063,3,2848.4463116666666
concurrency_n20_20260617_220558_kafka_feed12_rep2,kafka,single,20,0.6150150504858627,3,739.1577116666666
concurrency_n20_20260617_220558_kafka_feed13_rep1,kafka,single,20,1.6036240215604023,3,1930.9551116666664
concurrency_n20_20260617_220558_kafka_feed13_rep2,kafka,single,20,0.6842118934545594,3,822.8900450000001
concurrency_n20_20260617_220558_kafka_feed13_rep3,kafka,single,20,1.1791628333847153,3,1416.5449783333333
concurrency_n20_20260617_220558_kafka_feed14_rep1,kafka,single,20,3.38769354763914,3,4075.0145783333337
concurrency_n20_20260617_220558_kafka_feed14_rep2,kafka,single,20,0.2527126710679557,3,304.14237833333334
concurrency_n20_20260617_220558_kafka_feed14_rep3,kafka,single,20,3.04492519675015,3,3659.8499116666667
concurrency_n20_20260617_220558_kafka_feed15_rep1,kafka,single,20,1.5580259709491313,3,1875.8073783333332
concurrency_n20_20260617_220558_kafka_feed15_rep2,kafka,single,20,2.746901685391279,3,3301.4886783333336
concurrency_n20_20260617_220558_kafka_feed15_rep3,kafka,single,20,1.5622983383638045,3,1877.9796450000001
concurrency_n20_20260617_220558_kafka_feed16_rep1,kafka,single,20,1.487994383305979,3,1791.7655450000002
concurrency_n20_20260617_220558_kafka_feed16_rep2,kafka,single,20,0.08815978604767426,3,106.24297833333333
concurrency_n20_20260617_220558_kafka_feed16_rep3,kafka,single,20,1.6599286231642005,3,1995.0528116666665
concurrency_n20_20260617_220558_kafka_feed17_rep1,kafka,single,20,3.498853500335873,3,4208.633645
concurrency_n20_20260617_220558_kafka_feed17_rep2,kafka,single,20,1.0523888622662787,3,1265.201945
concurrency_n20_20260617_220558_kafka_feed18_rep1,kafka,single,20,2.2166701484723403,3,2666.4051783333334
concurrency_n20_20260617_220558_kafka_feed18_rep2,kafka,single,20,0.7771906136844273,3,934.516945
concurrency_n20_20260617_220558_kafka_feed18_rep3,kafka,single,20,1.0451890666403378,3,1256.276745
concurrency_n20_20260617_220558_kafka_feed19_rep1,kafka,single,20,1.9632717586258968,3,2362.899845
concurrency_n20_20260617_220558_kafka_feed19_rep2,kafka,single,20,0.6826603840190753,3,820.4021783333333
concurrency_n20_20260617_220558_kafka_feed1_rep1,kafka,single,20,2.0996614386330386,3,2526.9811116666665
concurrency_n20_20260617_220558_kafka_feed1_rep2,kafka,single,20,0.0482756016503999,3,58.25967833333333
