event_id,client,t_target_ns,t_wake_ns,t_send_ns,t_after_produce_ns,wake_late_ms,produce_ms
50fa5c47-ce69-41d3-bf4a-29b4f86d02fd,redis-py,1784865636536040209,1784865636537400574,1784865636537414195,1784865636537421486,1.360365,0.007291
93753357-15d4-4424-9899-669adf6f34ea,redis-py,1784865637536080211,1784865637537119367,1784865637537175193,1784865637537212630,1.039156,0.037437
bf8ecf65-adbc-42d1-99f7-c48a6ef2ec06,redis-py,1784865638536120213,1784865638537170746,1784865638537215434,1784865638537250948,1.050533,0.035514
67f9bdbc-8feb-49b2-b7fe-705375aac0db,redis-py,1784865638536120213,1784865638537449801,1784865638537461690,1784865638537469041,1.329588,0.007351
86a2db30-3020-4a3a-af2f-3b1d59b73adc,redis-py,1784865640536200216,1784865640538245822,1784865640538299783,1784865640538341297,2.045606,0.041514
da618d2e-27e6-47f5-ba91-a32d880fc3f3,redis-py,1784865641536240217,1784865641537281032,1784865641537326301,1784865641537363638,1.040815,0.037337
c6085c22-483f-4a4b-a3a7-27fbee22ae65,redis-py,1784865641536240217,1784865641537556753,1784865641537569322,1784865641537576392,1.316536,0.00707
5ecff428-f7e5-4098-a070-003bae61d520,redis-py,1784865641536240217,1784865641537622894,1784865641537632338,1784865641537637846,1.382677,0.005508
a6f33202-5449-458f-8473-9c4274528e11,redis-py,1784865643536320221,1784865643538366216,1784865643538421802,1784865643538462213,2.045995,0.040411
ce0cff7d-de0c-4e19-8496-2dd948d69413,redis-py,1784865644536360222,1784865644537400117,1784865644537447459,1784865644537487039,1.039895,0.03958
ebaf6e35-461e-411b-a4c6-bd8c8807ed4b,redis-py,1784865644536360222,1784865644537677630,1784865644537689839,1784865644537696800,1.317408,0.006961
9a40ee6a-81c2-48c1-b86d-7b611f1cbad9,redis-py,1784865645536400224,1784865645537441027,1784865645537487318,1784865645537526277,1.040803,0.038959
064b72e5-2907-4fec-ae0a-2108f5e8524f,redis-py,1784865645536400224,1784865645537724410,1784865645537736689,1784865645537743649,1.324186,0.00696
bf131dfc-aa54-477b-aa3a-fe427e0f5a4d,redis-py,1784865646536440225,1784865646537485851,1784865646537532823,1784865646537570490,1.045626,0.037667
24fa959e-ad78-4dfb-9cf7-ff352947271c,redis-py,1784865648536520229,1784865648538554620,1784865648538608632,1784865648538648082,2.034391,0.03945
03f103fa-f1fc-463e-87d9-cd3db62d4291,redis-py,1784865648536520229,1784865648538871383,1784865648538883712,1784865648538891144,2.351154,0.007432
da6d72e8-314a-4232-892f-7f2b7aa233da,redis-py,1784865648536520229,1784865648538939297,1784865648538947700,1784865648538953088,2.419068,0.005388
87c20b3f-2fe3-4696-b387-5997a79262eb,redis-py,1784865650536600232,1784865650538640513,1784865650538694495,1784865650538736018,2.040281,0.041523
ce148b24-1185-48a7-bc22-d593e8115f3c,redis-py,1784865650536600232,1784865650538960351,1784865650538971888,1784865650538979400,2.360119,0.007512
f2148745-955f-4ae6-99fc-7eea72344f5c,redis-py,1784865651536640233,1784865651537681132,1784865651537726922,1784865651537765481,1.040899,0.038559
914c3940-48b4-4246-bd08-2b34e8349649,redis-py,1784865652536680235,1784865652537718149,1784865652537769197,1784865652537807535,1.037914,0.038338
87666b3c-fae0-4ec8-a71d-c2d3be7beb84,redis-py,1784865669537360262,1784865669554416118,1784865669554483099,1784865669554533517,17.055856,0.050418
351f7fc6-14b7-46ba-9fb9-04f41961ded3,redis-py,1784865670537400264,1784865670538429314,1784865670538486471,1784865670538527964,1.02905,0.041493
fdc51a4b-28c8-4fce-84e7-171fe7b1d4b6,redis-py,1784865670537400264,1784865670538752377,1784865670538764094,1784865670538771186,1.352113,0.007092
