t_wall,rho,loadavg
1784958093.1553261,0.801,6.51
1784958093.6561577,0.8,6.51
1784958094.1569235,0.815,6.51
1784958094.6572545,0.79851,6.51
1784958095.1580458,0.8005,6.51
1784958095.6612697,0.80198,6.51
1784958096.162085,0.80451,6.51
1784958096.6628547,0.8,6.51
1784958097.1636324,0.8005,6.55
1784958097.6672843,0.80348,6.55
1784958098.1681063,0.80451,6.55
1784958098.6688673,0.81047,6.55
1784958099.16926,0.8175,6.55
1784958099.670027,0.8,6.55
1784958100.1708384,0.798,6.55
1784958100.6716175,0.805,6.55
1784958101.1730185,0.798,6.55
1784958101.6738195,0.80397,6.55
1784958102.1772482,0.80348,6.51
1784958102.678105,0.79397,6.51
1784958103.1792605,0.80348,6.51
1784958103.6801195,0.80549,6.51
1784958104.1822598,0.79851,6.51
1784958104.6830525,0.8025,6.51
1784958105.1842394,0.79851,6.51
1784958105.685007,0.7995,6.51
1784958106.1862981,0.80348,6.51
1784958106.6871145,0.7995,6.51
1784958107.187896,0.80348,6.38
1784958107.6913054,0.79602,6.38
1784958108.1921833,0.8005,6.38
1784958108.6929748,0.8025,6.38
1784958109.1932578,0.80846,6.38
1784958109.695239,0.8005,6.38
1784958110.1960068,0.8,6.38
1784958110.6968646,0.80299,6.38
1784958111.1976728,0.8,6.38
1784958111.6982706,0.801,6.38
1784958112.1990273,0.80201,6.35
1784958112.7012324,0.80299,6.35
1784958113.2019954,0.805,6.35
1784958113.7042537,0.79156,6.35
1784958114.2050216,0.80451,6.35
1784958114.7062533,0.801,6.35
1784958115.2070296,0.8125,6.35
1784958115.7092407,0.80348,6.35
1784958116.2099981,0.798,6.35
1784958116.7107563,0.8005,6.35
1784958117.2112277,0.8025,6.49
1784958117.7119887,0.80201,6.49
1784958118.2127728,0.7995,6.49
1784958118.7142432,0.8005,6.49
1784958119.2150812,0.81095,6.49
1784958119.7158756,0.79302,6.49
1784958120.2162552,0.80549,6.49
1784958120.719249,0.79851,6.49
1784958121.2200227,0.7995,6.49
1784958121.7208817,0.80299,6.49
1784958122.2212543,0.80702,6.53
1784958122.722036,0.801,6.53
1784958123.222815,0.8005,6.53
1784958123.7235596,0.798,6.53
1784958124.227257,0.80397,6.53
1784958124.7280269,0.7975,6.53
1784958125.2288034,0.80702,6.53
1784958125.729222,0.798,6.53
1784958126.2299757,0.798,6.53
1784958126.7302473,0.7995,6.53
1784958127.231011,0.80702,6.4
1784958127.731797,0.801,6.4
1784958128.2323003,0.8005,6.4
1784958128.7330801,0.86,6.4
1784958129.2338068,0.865,6.4
1784958129.7346213,0.8075,6.4
1784958130.2362866,0.8005,6.4
1784958130.7370882,0.8,6.4
1784958131.237858,0.798,6.4
1784958131.738622,0.80348,6.4
1784958132.2412317,0.80597,6.45
1784958132.7419827,0.80151,6.45
1784958133.2427614,0.79851,6.45
1784958133.7432454,0.7995,6.45
1784958134.2440896,0.80299,6.45
1784958134.7449064,0.80299,6.45
1784958135.2482452,0.801,6.45
1784958135.7490032,0.8,6.45
1784958136.2497852,0.7975,6.45
1784958136.7502453,0.80299,6.45
1784958137.2510142,0.8075,6.58
1784958137.751796,0.79551,6.58
1784958138.2522624,0.8025,6.58
1784958138.7530367,0.79551,6.58
1784958139.2538164,0.80549,6.58
1784958139.7542658,0.80299,6.58
1784958140.2550514,0.8025,6.58
1784958140.757267,0.79302,6.58
1784958141.2580512,0.8075,6.58
1784958141.7588098,0.8,6.58
1784958142.259634,0.79602,6.53
1784958142.7604566,0.8075,6.53
1784958143.2642496,0.80446,6.53
1784958143.7650473,0.8075,6.53
1784958144.26581,0.80952,6.53
1784958144.7662582,0.80299,6.53
1784958145.26704,0.801,6.53
1784958145.7678351,0.8025,6.53
1784958146.2683256,0.8025,6.53
1784958146.7691257,0.7925,6.53
1784958147.2699435,0.8,6.49
1784958147.771247,0.81047,6.49
1784958148.2720807,0.80201,6.49
1784958148.7729688,0.79551,6.49
1784958149.2752552,0.80299,6.49
1784958149.7760587,0.80549,6.49
1784958150.276854,0.80299,6.49
1784958150.777321,0.79551,6.49
1784958151.2782176,0.80451,6.49
1784958151.779041,0.8,6.49
1784958152.279837,0.805,6.53
1784958152.7822688,0.801,6.53
1784958153.2830732,0.8025,6.53
1784958153.7838497,0.798,6.53
1784958154.2842703,0.80201,6.53
1784958154.7850285,0.80299,6.53
1784958155.2872224,0.80597,6.53
1784958155.7882662,0.80201,6.53
1784958156.2912471,0.78908,6.53
1784958156.7920158,0.8075,6.53
1784958157.2942722,0.79901,6.65
1784958157.7951124,0.7995,6.65
1784958158.295965,0.8025,6.65
1784958158.7982628,0.80149,6.65
1784958159.2990613,0.80299,6.65
1784958159.7998428,0.798,6.65
1784958160.3002555,0.83166,6.65
1784958160.802335,0.87282,6.65
1784958161.303131,0.84673,6.65
1784958161.8038967,0.84539,6.65
1784958162.3042517,0.80201,6.6
1784958162.8050525,0.8,6.6
1784958163.3062894,0.801,6.6
1784958163.8092773,0.80893,6.6
1784958164.3100393,0.79551,6.6
1784958164.810836,0.7995,6.6
1784958165.31324,0.80549,6.6
1784958165.8140388,0.8,6.6
1784958166.3147979,0.805,6.6
1784958166.8162396,0.80597,6.6
1784958167.317,0.79551,6.63
1784958167.8178256,0.8,6.63
1784958168.3182514,0.8025,6.63
1784958168.8212736,0.80348,6.63
1784958169.3222687,0.80348,6.63
1784958169.824273,0.79302,6.63
1784958170.3250852,0.805,6.63
1784958170.828321,0.80597,6.63
1784958171.3299997,0.795,6.63
1784958171.8308313,0.80348,6.63
1784958172.3312755,0.798,6.5
1784958172.8320653,0.79699,6.5
1784958173.3328521,0.80549,6.5
1784958173.8332572,0.8475,6.5
1784958174.3342235,0.8408,6.5
1784958174.8350964,0.815,6.5
1784958175.3382626,0.80397,6.5
1784958175.8390274,0.795,6.5
1784958176.340079,0.8025,6.5
1784958176.8412857,0.798,6.5
1784958177.342169,0.8,6.62
1784958177.8442864,0.801,6.62
1784958178.3450928,0.795,6.62
1784958178.8458724,0.8025,6.62
1784958179.34832,0.80299,6.62
1784958179.849202,0.80299,6.62
1784958180.3501112,0.8,6.62
1784958180.8509343,0.798,6.62
1784958181.3530576,0.8025,6.62
1784958181.8553035,0.80693,6.62
1784958182.3572788,0.79851,6.73
1784958182.8580983,0.79699,6.73
1784958183.3588777,0.79551,6.73
1784958183.8596723,0.80798,6.73
1784958184.3632658,0.79404,6.73
1784958184.864079,0.8005,6.73
1784958185.3648741,0.80702,6.73
1784958185.865265,0.798,6.73
1784958186.3660247,0.7975,6.73
1784958186.866871,0.8025,6.73
1784958187.3682668,0.798,6.75
1784958187.869035,0.80201,6.75
1784958188.369794,0.79851,6.75
1784958188.8703368,0.80549,6.75
1784958189.373586,0.79901,6.75
1784958189.876287,0.801,6.75
1784958190.3771152,0.80451,6.75
