row_idx,match_id,event_id,period,minute,second,t_sim_seconds,t_emit_offset_s,event_type,team,player,timestamp,possession
919,3895107,bc44dc91-4cf2-484e-b5bf-19276527779c,1,20,20,1220,10.166666666666666,Ball Receipt*,Bayer Leverkusen,Alejandro Grimaldo García,00:20:20.991,43
920,3895107,ced8b2e0-2468-439b-ae60-64ea6151be70,1,20,20,1220,10.166666666666666,Carry,Bayer Leverkusen,Alejandro Grimaldo García,00:20:20.991,43
921,3895107,a2a23e78-c582-421f-820d-8ad1ca6978ca,1,20,23,1223,10.191666666666666,Pass,Bayer Leverkusen,Alejandro Grimaldo García,00:20:23.071,43
922,3895107,75a9d577-7786-44e2-be60-37d930331651,1,20,23,1223,10.191666666666666,Ball Receipt*,Bayer Leverkusen,Victor Okoh Boniface,00:20:23.926,43
923,3895107,3732fa3e-519a-4788-9af5-4bc103e39455,1,20,23,1223,10.191666666666666,Carry,Bayer Leverkusen,Victor Okoh Boniface,00:20:23.926,43
924,3895107,fdda3f7a-46e0-421d-b013-8e5c0d1a15a5,1,20,24,1224,10.2,Pass,Bayer Leverkusen,Victor Okoh Boniface,00:20:24.722,43
925,3895107,a576967e-109c-48a1-b6a6-8cd791fc07b1,1,20,25,1225,10.208333333333334,Ball Receipt*,Bayer Leverkusen,Florian Wirtz,00:20:25.582,43
926,3895107,a983eb7e-702d-403c-8844-013832a9c2d2,1,20,25,1225,10.208333333333334,Carry,Bayer Leverkusen,Florian Wirtz,00:20:25.582,43
927,3895107,0c5f1e8c-5563-40ff-8c5c-8ca7148dd03f,1,20,25,1225,10.208333333333334,Pass,Bayer Leverkusen,Florian Wirtz,00:20:25.635,43
928,3895107,cdcca28d-699e-4fd8-b9ac-d87fb8143041,1,20,25,1225,10.208333333333334,Ball Receipt*,Bayer Leverkusen,Victor Okoh Boniface,00:20:25.812,43
929,3895107,b272bd50-0421-43b2-935e-11cc5aec764f,1,20,25,1225,10.208333333333334,Carry,Bayer Leverkusen,Victor Okoh Boniface,00:20:25.812,43
930,3895107,f4192ac1-ab04-4dcc-b7e1-9c74e30220df,1,20,26,1226,10.216666666666667,Pressure,FC Köln,Eric Martel,00:20:26.194,43
931,3895107,bfc092e6-495c-421e-a837-d59185f82f5a,1,20,26,1226,10.216666666666667,Dribble,Bayer Leverkusen,Victor Okoh Boniface,00:20:26.589,43
932,3895107,da2b6b5b-ed25-43e8-b3dc-331e56ac59f0,1,20,26,1226,10.216666666666667,Duel,FC Köln,Eric Martel,00:20:26.589,43
933,3895107,26c3f394-1bcf-4402-af58-89161b26c130,1,20,36,1236,10.3,Pass,Bayer Leverkusen,Alejandro Grimaldo García,00:20:36.779,44
934,3895107,6fdd8d2e-4628-45ad-8bf3-c47f11327c48,1,20,37,1237,10.308333333333334,Pressure,FC Köln,Denis Huseinbašić,00:20:37.786,44
