n_events,duration_s,mean_rate_evs,peak_rate_evs,gap_p50_s,gap_p05_s,gap_min_s,burstiness,match_id,competition_name,season_name,gender,season_start_year
3645,8345.0,0.43678849610545234,2.6,1.0,0.0,1.0,5.952537722908094,3754015,Premier League,2015/2016,male,2015
3408,8404.0,0.40552118039029034,2.8,1.0,0.0,1.0,6.9046948356807505,3754016,Premier League,2015/2016,male,2015
3169,8408.0,0.37690294957183634,2.8,1.0,0.0,1.0,7.428968128747239,3754017,Premier League,2015/2016,male,2015
4079,8408.0,0.48513320647002856,3.4,1.0,0.0,1.0,7.008384407943123,3754018,Premier League,2015/2016,male,2015
3590,8423.0,0.4262139380268313,2.7,1.0,0.0,1.0,6.3348467966573825,3754019,Premier League,2015/2016,male,2015
3490,8442.0,0.41340914475242835,2.5,1.0,0.0,1.0,6.04727793696275,3754020,Premier League,2015/2016,male,2015
3622,8480.0,0.42712264150943396,3.0,1.0,0.0,1.0,7.023743787962451,3754021,Premier League,2015/2016,male,2015
2682,8582.0,0.3125145653693778,2.7,1.0,0.0,1.0,8.639597315436243,3754022,Premier League,2015/2016,male,2015
3153,8753.0,0.36021935336456073,2.8,1.0,0.0,1.0,7.773041547732317,3754023,Premier League,2015/2016,male,2015
3335,8463.0,0.39406829729410375,2.9,1.0,0.0,1.0,7.3591304347826085,3754024,Premier League,2015/2016,male,2015
3346,8354.0,0.40052669379937755,2.8,1.0,0.0,1.0,6.990794979079498,3754025,Premier League,2015/2016,male,2015
2816,8573.0,0.3284731132625685,2.5,1.0,0.0,1.0,7.610973011363637,3754026,Premier League,2015/2016,male,2015
3496,8402.0,0.41609140680790285,2.8,1.0,0.0,1.0,6.72929061784897,3754027,Premier League,2015/2016,male,2015
3364,8510.0,0.3952996474735605,2.6,1.0,0.0,1.0,6.577288941736029,3754028,Premier League,2015/2016,male,2015
3438,8530.0,0.40304806565064477,2.6,1.0,0.0,1.0,6.45084351367074,3754029,Premier League,2015/2016,male,2015
3391,8520.0,0.39800469483568074,2.9,1.0,0.0,1.0,7.286346210557357,3754030,Premier League,2015/2016,male,2015
3160,8584.0,0.3681267474370923,3.0,1.0,0.0,1.0,8.149367088607594,3754031,Premier League,2015/2016,male,2015
3685,8430.0,0.43712930011862394,2.6,1.0,0.0,1.0,5.947896879240163,3754032,Premier League,2015/2016,male,2015
3269,8377.0,0.3902351677211412,2.6,1.0,0.0,1.0,6.662649128173754,3754033,Premier League,2015/2016,male,2015
3292,8563.0,0.3844447039588929,2.4,1.0,0.0,1.0,6.24277035236938,3754034,Premier League,2015/2016,male,2015
3227,8487.0,0.3802285848945446,2.4,1.0,0.0,1.0,6.311992562751782,3754035,Premier League,2015/2016,male,2015
3436,8552.0,0.40177736202058,2.6,1.0,0.0,1.0,6.471245634458673,3754036,Premier League,2015/2016,male,2015
3913,8374.0,0.4672796751850967,2.8,1.0,0.0,1.0,5.992128801431127,3754037,Premier League,2015/2016,male,2015
3776,8472.0,0.4457034938621341,3.0,1.0,0.0,1.0,6.7309322033898304,3754038,Premier League,2015/2016,male,2015
3169,8726.0,0.3631675452670181,2.9,1.0,0.0,1.0,7.985295045755759,3754039,Premier League,2015/2016,male,2015
3690,8408.0,0.4388677450047574,2.5,1.0,0.0,1.0,5.696476964769648,3754040,Premier League,2015/2016,male,2015
3772,8280.0,0.45555555555555555,2.7,1.0,0.0,1.0,5.926829268292684,3754041,Premier League,2015/2016,male,2015
3617,8366.0,0.4323452067893856,2.8,1.0,0.0,1.0,6.476306331213713,3754042,Premier League,2015/2016,male,2015
3752,8391.0,0.4471457514003099,2.6,1.0,0.0,1.0,5.814658848614072,3754043,Premier League,2015/2016,male,2015
3497,8419.0,0.4153699964366314,2.8,1.0,0.0,1.0,6.7409779811266795,3754044,Premier League,2015/2016,male,2015
3370,8391.0,0.40162078417351926,2.9,1.0,0.0,1.0,7.220741839762611,3754045,Premier League,2015/2016,male,2015
3615,8359.0,0.4324679985644216,2.9,1.0,0.0,1.0,6.7056984785615485,3754046,Premier League,2015/2016,male,2015
3780,8489.0,0.4452821298150548,2.9,1.0,0.0,1.0,6.5127248677248675,3754047,Premier League,2015/2016,male,2015
3643,8427.0,0.4323009374629168,2.5,1.0,0.0,1.0,5.783008509470217,3754048,Premier League,2015/2016,male,2015
3264,8514.0,0.383368569415081,2.9,1.0,0.0,1.0,7.564522058823529,3754049,Premier League,2015/2016,male,2015
3047,8416.0,0.36204847908745247,2.6,1.0,0.0,1.0,7.181358713488677,3754050,Premier League,2015/2016,male,2015
2937,8480.0,0.3463443396226415,2.6,1.0,0.0,1.0,7.506979911474294,3754051,Premier League,2015/2016,male,2015
3215,8629.0,0.3725808320778769,2.9,1.0,0.0,1.0,7.783545878693624,3754052,Premier League,2015/2016,male,2015
3641,8408.0,0.4330399619410086,3.0,1.0,0.0,1.0,6.927767096951387,3754053,Premier League,2015/2016,male,2015
3488,8338.0,0.4183257375869513,2.7,1.0,0.0,1.0,6.454300458715597,3754054,Premier League,2015/2016,male,2015
3953,8434.0,0.4686981266303059,2.6,1.0,0.0,1.0,5.54728054642044,3754055,Premier League,2015/2016,male,2015
3547,8428.0,0.420859041290935,2.2,1.0,0.0,1.0,5.227403439526361,3754056,Premier League,2015/2016,male,2015
3347,8352.0,0.40074233716475094,2.7,1.0,0.0,1.0,6.73749626531222,3754057,Premier League,2015/2016,male,2015
3576,8445.0,0.42344582593250446,2.8,1.0,0.0,1.0,6.61241610738255,3754058,Premier League,2015/2016,male,2015
3218,8527.0,0.37738946874633517,2.5,1.0,0.0,1.0,6.624456183965195,3754059,Premier League,2015/2016,male,2015
3165,8482.0,0.37314312662107996,2.3,1.0,0.0,1.0,6.163854660347551,3754060,Premier League,2015/2016,male,2015
3566,8472.0,0.4209159584513692,2.5,1.0,0.0,1.0,5.939427930454291,3754061,Premier League,2015/2016,male,2015
3369,8616.0,0.391016713091922,2.5,1.0,0.0,1.0,6.393588601959038,3754062,Premier League,2015/2016,male,2015
3555,8593.0,0.41370883277086,2.4,1.0,0.0,1.0,5.8011814345991555,3754063,Premier League,2015/2016,male,2015
3841,8515.0,0.4510863182618908,2.9,1.0,0.0,1.0,6.428924759177297,3754064,Premier League,2015/2016,male,2015
3106,8439.0,0.3680530868586325,2.9,1.0,0.0,1.0,7.879298132646491,3754065,Premier League,2015/2016,male,2015
3412,8482.0,0.4022636170714454,2.6,1.0,0.0,1.0,6.463423212192263,3754066,Premier League,2015/2016,male,2015
3368,8483.0,0.39702935282329366,2.4,1.0,0.0,1.0,6.044893111638954,3754067,Premier League,2015/2016,male,2015
2925,8492.0,0.34444182760244935,2.3,1.0,0.0,1.0,6.677470085470086,3754068,Premier League,2015/2016,male,2015
3589,8428.0,0.4258424299952539,2.8,1.0,0.0,1.0,6.575202006129841,3754069,Premier League,2015/2016,male,2015
3587,8538.0,0.4201218083860389,2.8,1.0,0.0,1.0,6.664733760802899,3754070,Premier League,2015/2016,male,2015
3345,8590.0,0.3894062863795111,2.4,1.0,0.0,1.0,6.163228699551569,3754071,Premier League,2015/2016,male,2015
