t_wall,rho,loadavg
1784967025.0772567,0.87781,7.05
1784967025.578042,0.8825,7.05
1784967026.0792892,0.8806,7.05
1784967026.5800908,0.88529,7.05
1784967027.082365,0.87781,7.05
1784967027.585244,0.88308,7.05
1784967028.08602,0.89474,7.05
1784967028.5867877,0.91022,7.05
1784967029.0902686,0.90773,7.05
1784967029.5910842,0.8825,7.05
1784967030.0918627,0.8825,7.05
1784967030.5942364,0.88337,7.05
1784967031.0949981,0.87781,7.05
1784967031.5958192,0.87719,7.05
1784967032.0992646,0.88337,7.05
1784967032.6000779,0.88,7.05
1784967033.1008651,0.87781,7.05
1784967033.601245,0.88221,7.05
1784967034.102115,0.87811,7.12
1784967034.602944,0.8803,7.12
1784967035.1032598,0.88471,7.12
1784967035.6040246,0.8775,7.12
1784967036.1050766,0.8825,7.12
1784967036.605901,0.87811,7.12
1784967037.1063585,0.885,7.12
1784967037.607188,0.87531,7.12
1784967038.1079903,0.8775,7.12
1784967038.609284,0.88,7.12
1784967039.1100845,0.8825,7.11
1784967039.6122634,0.87811,7.11
1784967040.1130936,0.8803,7.11
1784967040.6138847,0.88279,7.11
1784967041.1142766,0.88,7.11
1784967041.6152818,0.8803,7.11
1784967042.11833,0.8806,7.11
1784967042.619126,0.88,7.11
1784967043.1198845,0.89526,7.11
1784967043.6202748,0.87531,7.11
1784967044.1210861,0.89,7.19
1784967044.6218803,0.875,7.19
1784967045.1222684,0.88529,7.19
1784967045.624295,0.8806,7.19
1784967046.1251857,0.87781,7.19
1784967046.6272347,0.88279,7.19
1784967047.1280982,0.8775,7.19
1784967047.6289184,0.88557,7.19
1784967048.129278,0.88279,7.19
1784967048.6300821,0.88221,7.19
1784967049.1312702,0.87562,7.25
1784967049.6332622,0.88529,7.25
1784967050.1340783,0.8825,7.25
1784967050.635304,0.8806,7.25
1784967051.1363058,0.8775,7.25
1784967051.6372015,0.8825,7.25
1784967052.1382427,0.88529,7.25
1784967052.6392772,0.87531,7.25
1784967053.143288,0.8806,7.25
1784967053.6440516,0.88972,7.25
1784967054.1448793,0.8803,7.15
1784967054.645273,0.88,7.15
1784967055.146063,0.88,7.15
1784967055.646882,0.885,7.15
1784967056.147295,0.8803,7.15
1784967056.6481004,0.8775,7.15
1784967057.1488998,0.8825,7.15
1784967057.6492438,0.88,7.15
1784967058.1503913,0.88529,7.15
1784967058.6512136,0.87531,7.15
1784967059.1522639,0.88,7.22
1784967059.6531,0.8825,7.22
1784967060.1538398,0.90773,7.22
1784967060.6542528,0.88722,7.22
1784967061.1550548,0.9275,7.22
1784967061.6558921,0.8825,7.22
1784967062.157282,0.88279,7.22
1784967062.6580608,0.87469,7.22
1784967063.1588619,0.8803,7.22
1784967063.6609516,0.88308,7.22
1784967064.161797,0.8803,7.2
1784967064.6652462,0.87624,7.2
1784967065.1660106,0.88471,7.2
1784967065.6672904,0.88,7.2
1784967066.169306,0.8803,7.2
1784967066.6701138,0.8797,7.2
1784967067.1732693,0.88395,7.2
1784967067.6741445,0.88279,7.2
1784967068.1749766,0.87531,7.2
1784967068.6757798,0.8797,7.2
1784967069.1782825,0.88337,7.18
1784967069.6790612,0.8797,7.18
1784967070.1798544,0.88,7.18
1784967070.6803648,0.8803,7.18
1784967071.1812243,0.88529,7.18
1784967071.6832693,0.8825,7.18
1784967072.1840858,0.875,7.18
1784967072.6873481,0.88366,7.18
1784967073.1881294,0.88972,7.18
1784967073.6888947,0.90274,7.18
1784967074.1892653,0.9202,7.17
1784967074.6900468,0.88,7.17
1784967075.1908498,0.88,7.17
1784967075.6916614,0.8803,7.17
1784967076.194373,0.88337,7.17
1784967076.6951962,0.8775,7.17
1784967077.198267,0.8806,7.17
1784967077.699052,0.885,7.17
1784967078.1998467,0.8803,7.17
1784967078.7002652,0.87781,7.17
1784967079.2010355,0.88221,7.16
1784967079.7018971,0.88,7.16
1784967080.2022727,0.87781,7.16
1784967080.7030559,0.88,7.16
1784967081.2042513,0.8806,7.16
1784967081.7050896,0.88221,7.16
1784967082.205899,0.8775,7.16
1784967082.7082565,0.88089,7.16
1784967083.2090364,0.8797,7.16
1784967083.7098944,0.8875,7.16
1784967084.2102442,0.87531,7.22
1784967084.7110376,0.87781,7.22
1784967085.21182,0.89,7.22
1784967085.7122586,0.88,7.22
1784967086.2152984,0.87562,7.22
1784967086.7161162,0.88279,7.22
1784967087.216896,0.885,7.22
1784967087.7172709,0.87781,7.22
1784967088.2193153,0.87811,7.22
1784967088.7201428,0.885,7.22
1784967089.220922,0.88279,7.21
1784967089.7212582,0.87781,7.21
1784967090.2232397,0.9225,7.21
1784967090.724054,0.905,7.21
1784967091.2295077,0.95545,7.21
1784967091.7302406,0.98,7.21
1784967092.2332325,0.98504,7.21
1784967092.7339754,1.0,7.21
1784967093.2342198,1.0,7.21
1784967093.7349522,1.0,7.21
1784967094.235234,0.99751,8.63
1784967094.737286,0.99002,8.63
1784967095.2380764,0.9599,8.63
1784967095.7388086,0.94207,8.63
1784967096.2395692,0.94221,8.63
1784967096.7422912,0.94514,8.63
1784967097.2430897,0.90977,8.63
1784967097.7438514,0.89,8.63
1784967098.2442756,0.8803,8.63
1784967098.7450786,0.88221,8.63
1784967099.2458649,0.875,8.42
1784967099.746266,0.8806,8.42
1784967100.247273,0.88279,8.42
1784967100.7491133,0.885,8.42
1784967101.2498996,0.88529,8.42
1784967101.7512815,0.88279,8.42
1784967102.2532642,0.87531,8.42
1784967102.754045,0.8825,8.42
1784967103.2548487,0.88,8.42
1784967103.7552552,0.88337,8.42
1784967104.2560308,0.88221,8.39
1784967104.756785,0.885,8.39
1784967105.258258,0.88089,8.39
1784967105.760246,0.8806,8.39
1784967106.26103,0.87719,8.39
1784967106.7618434,0.88,8.39
1784967107.2622507,0.885,8.39
1784967107.763053,0.8803,8.39
1784967108.266253,0.88337,8.39
1784967108.7670505,0.8797,8.28
1784967109.2678406,0.88279,8.28
1784967109.7682765,0.88,8.28
1784967110.2690616,0.88279,8.28
1784967110.76994,0.8797,8.28
1784967111.2702596,0.87531,8.28
1784967111.7722712,0.88279,8.28
1784967112.273017,0.8797,8.28
1784967112.7763326,0.87871,8.28
1784967113.2771766,0.88308,8.28
1784967113.7779555,0.88,8.25
1784967114.2783241,0.885,8.25
1784967114.7791708,0.875,8.25
1784967115.2812076,0.88279,8.25
1784967115.781997,0.8803,8.25
1784967116.2827883,0.88308,8.25
1784967116.7862806,0.88337,8.25
1784967117.2870858,0.88,8.25
1784967117.7878933,0.8775,8.25
1784967118.2882435,0.88279,8.25
1784967118.7890062,0.8825,8.15
1784967119.2898061,0.8825,8.15
1784967119.7903447,0.8806,8.15
1784967120.2911522,0.8803,8.15
1784967120.7919316,0.88221,8.15
1784967121.2932482,0.8806,8.15
1784967121.7940397,0.88221,8.15
1784967122.2948256,0.88,8.15
1784967122.7953217,0.87811,8.15
1784967123.297278,0.88529,8.15
1784967123.7980251,0.88,8.06
1784967124.2988164,0.87811,8.06
1784967124.7993193,0.88221,8.06
1784967125.3013108,0.87811,8.06
1784967125.8042626,0.8803,8.06
1784967126.3050575,0.8825,8.06
1784967126.8058407,0.8803,8.06
1784967127.3062694,0.87811,8.06
1784967127.807045,0.8775,8.06
1784967128.307854,0.89,8.06
1784967128.8082862,0.8803,7.89
1784967129.3090823,0.88221,7.89
1784967129.8102844,0.87781,7.89
1784967130.312284,0.88279,7.89
1784967130.813058,0.8806,7.89
1784967131.3138568,0.8875,7.89
1784967131.8142781,0.8825,7.89
1784967132.315304,0.8803,7.89
1784967132.81728,0.8825,7.89
1784967133.3180554,0.88,7.89
