t_wall_ns,pid,on_cpu_ns,wait_ns,slices,n_threads,schedstats_enabled
1784998759802663570,346580,1126575896,505334118,47,9,1
1784998759802663570,346614,9097348,245836991,59,1,1
1784998759802663570,346615,1186181669,862633983,43,9,1
1784998759802663570,346616,1099627345,716145372,37,9,1
1784998759802663570,346617,1136619063,498084589,42,9,1
1784998760326089098,346450,7367895,37070079,4,1,1
1784998760326089098,346457,1765493260,68316418,509,2,1
1784998760326089098,346463,7144070,12007976,5,1,1
1784998760326089098,346466,7275356,34889316,6,1,1
1784998760326089098,346473,6642236,109259131,6,1,1
1784998760326089098,346476,1818171133,1249622108,16151,1,1
1784998760326089098,346479,1365223145,82216542,463,2,1
1784998760326089098,346480,1516051772,1249652989,12581,1,1
1784998760326089098,346481,6836257,7970478,5,1,1
1784998760326089098,346486,6587284,14793846,5,1,1
1784998760326089098,346488,7029207,27204247,4,1,1
1784998760326089098,346492,1541705439,171448130,439,2,1
1784998760326089098,346493,1525067401,1451466024,13691,1,1
1784998760326089098,346496,1624173514,137039802,476,2,1
1784998760326089098,346497,7718139,55529436,7,1,1
1784998760326089098,346499,8489491,157997903,30,1,1
1784998760326089098,346501,1445623669,1350556381,12502,1,1
1784998760326089098,346508,1392195065,242547450,411,2,1
1784998760326089098,346509,8763707,25393231,20,1,1
1784998760326089098,346511,1669905260,1326582322,14673,1,1
1784998760326089098,346516,9276112,986189080,204,1,1
1784998760326089098,346517,9015007,112934244,157,1,1
1784998760326089098,346518,8906438,763656763,163,1,1
1784998760326089098,346520,9119904,16738924,109,1,1
1784998760326089098,346521,1091756821,518252735,296,13,1
1784998760326089098,346522,1076908041,2308342434,143,13,1
1784998760326089098,346536,7472629,9596982,49,1,1
1784998760326089098,346537,983173758,1369948417,86,13,1
1784998760326089098,346557,1058722117,668484823,100,13,1
1784998760326089098,346572,8556006,33723460,74,1,1
1784998760326089098,346573,7103297,48953180,88,1,1
1784998760326089098,346574,1067958333,852255409,92,13,1
1784998760326089098,346576,1081524876,1043116145,35,9,1
1784998760326089098,346578,10776334,420564693,127,1,1
1784998760326089098,346579,8623678,415905719,112,1,1
1784998760326089098,346580,1126575896,505334118,47,9,1
1784998760326089098,346614,9097348,245836991,59,1,1
1784998760326089098,346615,1187845717,862633983,47,9,1
1784998760326089098,346616,1101594026,716145372,41,9,1
1784998760326089098,346617,1136619063,498084589,42,9,1
1784998760848088308,346450,7367895,37070079,4,1,1
1784998760848088308,346457,1767001442,68316418,524,2,1
1784998760848088308,346463,7144070,12007976,5,1,1
