run,n_corrections,n_base_events,n_base_events_with_corrections,correction_propagation_latency_ms,inconsistency_duration_ms,correction_planned_to_consume_latency_ms
s3_s2sf12_redis_rep5_20260612,89,4465,89,"{'p50': 859.7868, 'p95': 1851.8643599999998, 'p99': 1949.5700160000001, 'max': 1974.8518, 'mean': 879.580815730337, 'std': 621.1230382980017, 'min': 0.9377, 'count': 89}","{'p50': 859.7868, 'p95': 1851.8643599999998, 'p99': 1949.5700160000001, 'max': 1974.8518, 'mean': 879.580815730337, 'std': 621.1230382980017, 'min': 0.9377, 'count': 89}","{'p50': 2054.956078, 'p95': 2195.9773984, 'p99': 2285.30033696, 'max': 2307.929478, 'mean': 2068.93045752809, 'std': 51.71980157914596, 'min': 2029.808612, 'count': 89}"
s3_s2sf12j2_kafka_rep1_20260612,89,4465,89,"{'p50': 2.4287, 'p95': 1278.9058599999996, 'p99': 1662.4791720000005, 'max': 1751.4917, 'mean': 177.9000820224719, 'std': 426.66583447231346, 'min': 1.6772, 'count': 89}","{'p50': 2.4287, 'p95': 1278.9058599999996, 'p99': 1662.4791720000005, 'max': 1751.4917, 'mean': 177.9000820224719, 'std': 426.66583447231346, 'min': 1.6772, 'count': 89}","{'p50': 4579.436133, 'p95': 7992.1567938, 'p99': 8293.58596796, 'max': 8363.655711, 'mean': 4691.8150232808985, 'std': 2105.9663184664023, 'min': 2012.407273, 'count': 89}"
s3_s2sf12j2_redis_rep1_20260612,89,4465,89,"{'p50': 804.5526, 'p95': 1840.4547799999998, 'p99': 1952.313036, 'max': 1979.7957, 'mean': 821.1922539325844, 'std': 636.090154347807, 'min': 0.5074, 'count': 89}","{'p50': 804.5526, 'p95': 1840.4547799999998, 'p99': 1952.313036, 'max': 1979.7957, 'mean': 821.1922539325844, 'std': 636.090154347807, 'min': 0.5074, 'count': 89}","{'p50': 2022.545819, 'p95': 2340.5419937999995, 'p99': 2436.55358396, 'max': 2454.847911, 'mean': 2062.9566356404493, 'std': 105.45136504704493, 'min': 2011.029163, 'count': 89}"
s3_s2sf12j2_kafka_rep2_20260612,89,4465,89,"{'p50': 2.7728, 'p95': 1399.9896999999994, 'p99': 1734.9261920000004, 'max': 1791.4434, 'mean': 207.20132921348312, 'std': 460.06575883046906, 'min': 1.7646, 'count': 89}","{'p50': 2.7728, 'p95': 1399.9896999999994, 'p99': 1734.9261920000004, 'max': 1791.4434, 'mean': 207.20132921348312, 'std': 460.06575883046906, 'min': 1.7646, 'count': 89}","{'p50': 4363.992133, 'p95': 8270.4243338, 'p99': 8658.87002796, 'max': 8768.962611, 'mean': 4625.885609797752, 'std': 2212.578035598107, 'min': 2024.513073, 'count': 89}"
s3_s2sf12j2_redis_rep2_20260612,89,4465,89,"{'p50': 761.2051, 'p95': 1821.1329999999998, 'p99': 1952.9442880000001, 'max': 1962.0478, 'mean': 793.5362359550561, 'std': 644.7914262036207, 'min': 0.9875, 'count': 89}","{'p50': 761.2051, 'p95': 1821.1329999999998, 'p99': 1952.9442880000001, 'max': 1962.0478, 'mean': 793.5362359550561, 'std': 644.7914262036207, 'min': 0.9875, 'count': 89}","{'p50': 2038.430111, 'p95': 2413.2959434, 'p99': 2518.2646279600003, 'max': 2540.572811, 'mean': 2090.9127951910114, 'std': 126.53953519784231, 'min': 2020.854822, 'count': 89}"
s3_s2sf12j2_kafka_rep3_20260612,89,4465,89,"{'p50': 2.7244, 'p95': 1389.4583599999994, 'p99': 1723.7503080000006, 'max': 1802.2823, 'mean': 217.17710674157306, 'std': 462.8742586620523, 'min': 2.0731, 'count': 89}","{'p50': 2.7244, 'p95': 1389.4583599999994, 'p99': 1723.7503080000006, 'max': 1802.2823, 'mean': 217.17710674157306, 'std': 462.8742586620523, 'min': 2.0731, 'count': 89}","{'p50': 4289.066633, 'p95': 8143.332913799999, 'p99': 8490.50451596, 'max': 8572.432611, 'mean': 4552.152632269663, 'std': 2179.392923472382, 'min': 2030.131741, 'count': 89}"
s3_s2sf12j2_redis_rep3_20260612,89,4465,89,"{'p50': 741.3767, 'p95': 1811.1072399999998, 'p99': 1948.5584840000001, 'max': 1959.5371, 'mean': 778.603086516854, 'std': 644.3445218005514, 'min': 0.5785, 'count': 89}","{'p50': 741.3767, 'p95': 1811.1072399999998, 'p99': 1948.5584840000001, 'max': 1959.5371, 'mean': 778.603086516854, 'std': 644.3445218005514, 'min': 0.5785, 'count': 89}","{'p50': 2051.012234, 'p95': 2465.0946537999994, 'p99': 2577.8646119600003, 'max': 2598.866611, 'mean': 2111.2227266516857, 'std': 140.11530312958948, 'min': 2025.164222, 'count': 89}"
s3_s2sf12j2_kafka_rep4_20260612,89,4465,89,"{'p50': 2.5916, 'p95': 1452.3499599999996, 'p99': 1742.6606120000004, 'max': 1802.3137, 'mean': 243.71967640449435, 'std': 487.93337363204637, 'min': 1.5169, 'count': 89}","{'p50': 2.5916, 'p95': 1452.3499599999996, 'p99': 1742.6606120000004, 'max': 1802.3137, 'mean': 243.71967640449435, 'std': 487.93337363204637, 'min': 1.5169, 'count': 89}","{'p50': 3914.636933, 'p95': 7328.9142538, 'p99': 7635.418879960001, 'max': 7711.217511, 'mean': 4162.160518786517, 'std': 1901.790841388372, 'min': 2025.77944, 'count': 89}"
s3_s2sf12j2_redis_rep4_20260612,89,4465,89,"{'p50': 872.7148, 'p95': 1858.6825999999999, 'p99': 1975.684224, 'max': 1994.4768, 'mean': 880.6730078651685, 'std': 619.324877747261, 'min': 0.9763, 'count': 89}","{'p50': 872.7148, 'p95': 1858.6825999999999, 'p99': 1975.684224, 'max': 1994.4768, 'mean': 880.6730078651685, 'std': 619.324877747261, 'min': 0.9763, 'count': 89}","{'p50': 2054.288219, 'p95': 2177.0922234, 'p99': 2264.7277479599998, 'max': 2282.359611, 'mean': 2068.7428008089887, 'std': 46.2239088409169, 'min': 2042.173644, 'count': 89}"
s3_s2full_kafka_rep1_20260612,100,5037,100,"{'p50': 2.0246, 'p95': 1423.8882349999997, 'p99': 1726.6712900000002, 'max': 1785.2288, 'mean': 219.479016, 'std': 467.0161512153808, 'min': 1.3396, 'count': 100}","{'p50': 2.0246, 'p95': 1423.8882349999997, 'p99': 1726.6712900000002, 'max': 1785.2288, 'mean': 219.479016, 'std': 467.0161512153808, 'min': 1.3396, 'count': 100}","{'p50': 3863.429206, 'p95': 7649.9673017000005, 'p99': 7956.90106178, 'max': 8031.425567, 'mean': 4226.06113296, 'std': 1959.3447037367162, 'min': 2019.5875, 'count': 100}"
