run_id,scenario,config,backend,rep,n_producer_events,n_consumer_events,speedup,corrections_every_k,correction_delay_s,tti_p50,tti_p95,tti_p99,tti_max,tti_mean,tti_std,tti_min,transport_p50,transport_p95,transport_p99,transport_max,transport_mean,resource_kafka_avg_cpu,resource_run_id,resource_kafka_peak_mem,resource_backend,resource_config,resource_kafka_avg_mem,resource_redis_peak_cpu,resource_system_avg_cpu,resource_system_peak_cpu,resource_redis_avg_mem,resource_sample_count,resource_speedup,resource_kafka_peak_cpu,resource_redis_avg_cpu,resource_redis_peak_mem,n_produced,n_consumed,n_matched,meta_max_t_sim,meta_speedup,match_rate
s5_s2sf12_low_frequency_kafka_rep1_20260612_185544,s2sf12,low_frequency,kafka,rep1,4509,4509,120,100,2.0,5121.247689,7803.782657999999,8060.651220000001,8123.459434,5113.350547434465,1709.7779147494166,2000.887167,1999.1154,1999.28428,1999.409832,2000.9847,1999.1378501441563,1.65,s5_s2sf12_low_frequency_kafka_rep1_20260612_185544,1116.16,kafka,low_frequency,1116.16,0.23,18.13,22.39,125.1,4,120,1.91,0.23,125.1,4509,4509,4509,600,120,1.0
s5_s2sf12_low_frequency_redis_rep1_20260612_185630,s2sf12,low_frequency,redis,rep1,4509,4509,120,100,2.0,3082.746778,3998.087158,4076.79413152,4097.265634,3069.5638591222,608.6880026870808,1999.512045,2005.2448,2012.39472,2014.173796,2015.1096,2006.016105788423,1.64,s5_s2sf12_low_frequency_redis_rep1_20260612_185630,1102.85,redis,low_frequency,1102.85,0.25,16.33,16.84,126.1,2,120,1.77,0.25,126.1,4509,4509,4509,600,120,1.0
s5_s2sf12j2_baseline_kafka_rep1_20260612_192300,s2sf12j2,baseline,kafka,rep1,595,595,120,50,2.0,2554.525362,2908.1148006,2943.8991864,2954.909362,2544.4659214672274,239.63148442858275,2019.154063,2016.7169,2016.90512,2017.034248,2017.1695,2016.7335877310923,1.67,s5_s2sf12j2_baseline_kafka_rep1_20260612_192300,1116.16,kafka,baseline,1114.4,0.25,,,129.56,14,120,1.97,0.23,129.6,595,595,595,60,120,1.0
s5_s2sf12j2_baseline_redis_rep1_20260612_192343,s2sf12j2,baseline,redis,rep1,595,595,120,50,2.0,2185.85409,2312.5375375999997,2327.19322,2333.996662,2180.406074072269,87.3407980716489,2019.656322,2014.5803,2015.41156,2015.64258,2015.7879,2014.3354013445376,1.53,s5_s2sf12j2_baseline_redis_rep1_20260612_192343,1103.87,redis,baseline,1103.87,0.28,,,129.75,13,120,1.68,0.24,130.0,595,595,595,60,120,1.0
s5_s2sf12j2_fast_corrections_kafka_rep1_20260612_193600,s2sf12j2,fast_corrections,kafka,rep1,4911,4911,120,10,0.5,5217.537411,8010.071884999999,8308.789182999999,8379.40299,5216.951297047444,1789.4839146168372,2024.807434,2016.8713,2017.0949,2017.22703,2022.3848,2016.8977101608634,6.6,s5_s2sf12j2_fast_corrections_kafka_rep1_20260612_193600,1118.21,kafka,fast_corrections,1118.21,0.24,,,131.7,6,120,30.96,0.22,131.7,4911,4911,4911,600,120,1.0
s5_s2sf12j2_fast_corrections_redis_rep1_20260612_193700,s2sf12j2,fast_corrections,redis,rep1,4911,4911,120,10,0.5,3104.426589,4120.973123,4215.6160187,4244.81139,3110.3385071472203,643.1891177851882,2018.420322,2016.1462,2040.78085,2043.45764,2044.6363,2019.6033076766444,1.44,s5_s2sf12j2_fast_corrections_redis_rep1_20260612_193700,1104.9,redis,fast_corrections,1104.9,0.25,,,134.2,5,120,1.53,0.24,134.2,4911,4911,4911,600,120,1.0
s5_s2sf12j2_high_frequency_kafka_rep1_20260612_192546,s2sf12j2,high_frequency,kafka,rep1,642,642,120,10,2.0,2529.1809605,2915.4229725,2952.80122,2964.554262,2515.3777764626166,270.58220410455186,2019.561545,2008.14165,2008.3180599999998,2008.4012699999998,2008.6924,2008.1576767912775,1.6,s5_s2sf12j2_high_frequency_kafka_rep1_20260612_192546,1116.16,kafka,high_frequency,1116.16,0.25,,,130.2,14,120,1.91,0.23,130.2,642,642,642,60,120,1.0
s5_s2sf12j2_high_frequency_redis_rep1_20260612_192629,s2sf12j2,high_frequency,redis,rep1,642,642,120,10,2.0,2166.8632515,2303.4702279999997,2320.8394749999998,2328.242762,2165.1609048115265,91.64667534794658,2013.675255,2014.55945,2015.638505,2015.981714,2016.1459,2014.3153026479752,1.47,s5_s2sf12j2_high_frequency_redis_rep1_20260612_192629,1103.87,redis,high_frequency,1103.87,0.26,,,130.4,14,120,1.6,0.24,130.4,642,642,642,60,120,1.0
s5_s2sf12j2_high_speedup_kafka_rep1_20260612_192423,s2sf12j2,high_speedup,kafka,rep1,595,595,240,50,2.0,2542.749781,2919.7674751,2951.9276092,2963.303481,2541.9862148352936,245.46639812500078,1999.93562,2003.4776,2003.63743,2003.8075059999999,2007.5324,2003.5011070588237,1.71,s5_s2sf12j2_high_speedup_kafka_rep1_20260612_192423,1116.16,kafka,high_speedup,1116.16,0.25,,,130.1,14,240,1.99,0.23,130.1,595,595,595,60,240,1.0
s5_s2sf12j2_high_speedup_redis_rep1_20260612_192505,s2sf12j2,high_speedup,redis,rep1,595,595,240,50,2.0,2191.082581,2329.4278685,2344.0012309999997,2349.320781,2188.6241733226893,91.18626627112535,2017.20032,2017.0412,2018.21606,2018.576714,2018.6756,2016.9962539495798,1.47,s5_s2sf12j2_high_speedup_redis_rep1_20260612_192505,1104.9,redis,high_speedup,1104.03,0.26,,,130.29,13,240,1.67,0.25,130.3,595,595,595,60,240,1.0
s5_s2sf12j2_long_delay_kafka_rep1_20260612_193000,s2sf12j2,long_delay,kafka,rep1,4554,4554,120,50,5.0,5104.9206655,7941.45599895,8196.6207798,8259.30659,5125.50428810101,1794.3004423682908,2017.844857,2015.5918,2015.78755,2015.926647,2021.7601,2015.6158778875715,3.54,s5_s2sf12j2_long_delay_kafka_rep1_20260612_193000,1118.21,kafka,long_delay,1116.58,0.25,,,130.22,17,120,33.2,0.22,130.3,4554,4554,4554,600,120,1.0
s5_s2sf12j2_long_delay_redis_rep1_20260612_193500,s2sf12j2,long_delay,redis,rep1,4554,4554,120,50,5.0,3096.2921175,4058.0640826999997,4143.1478247,4171.28069,3092.6941178550724,628.4828087024473,2017.765841,2016.5507,2017.554135,2018.235427,2025.4072,2016.5081220245938,1.51,s5_s2sf12j2_long_delay_redis_rep1_20260612_193500,1104.9,redis,long_delay,1104.9,0.26,,,131.7,5,120,1.75,0.24,131.7,4554,4554,4554,600,120,1.0
s5_s2sf12j2_low_frequency_kafka_rep1_20260612_192708,s2sf12j2,low_frequency,kafka,rep1,589,589,120,100,2.0,2569.348246,2932.1633782000004,2969.9301828,2981.101662,2563.961876220713,242.11992442524888,2002.918289,2005.0276,2005.231,2005.408048,2005.7424,2005.039598132428,1.65,s5_s2sf12j2_low_frequency_kafka_rep1_20260612_192708,1116.16,kafka,low_frequency,1116.16,0.3,,,130.4,15,120,1.91,0.23,130.4,589,589,589,60,120,1.0
s5_s2sf12j2_low_frequency_redis_rep1_20260612_194000,s2sf12j2,low_frequency,redis,rep1,4509,4509,120,100,2.0,3057.742851,4016.3226474,4101.16556352,4130.63569,3067.73858591772,606.9190907547372,2004.309022,2011.2945,2014.36662,2014.92926,2015.5855,2011.597906852961,1.47,s5_s2sf12j2_low_frequency_redis_rep1_20260612_194000,1104.9,redis,low_frequency,1104.9,0.25,,,136.5,5,120,1.61,0.25,136.5,4509,4509,4509,600,120,1.0
