run_id,backend,scenario,concurrency,plan_csv,tti_ms_p50,tti_ms_p95,tti_ms_p99,tti_ms_max,tti_ms_mean,tti_ms_std,tti_ms_min,n_producer,n_consumer,n_matched,transport_latency_ms_p50
concurrency_n10_20260612_220222_kafka_feed9_rep1,kafka,concurrency,10,data/processed/replay_plans/s2sf12/combined_plan.csv,2724.786645,3087.4953189999997,3118.0399759999996,3127.762067,2702.9508797071917,263.30757553843523,2163.7905,584,584,584,2045.4101
concurrency_n20_20260612_220524_redis_feed9_rep1,redis,concurrency,20,data/processed/replay_plans/s2sf12/combined_plan.csv,2405.221767,2794.3748519999995,2816.931118,2821.272067,2442.5427214215115,210.45167562290624,2106.945,344,344,344,2076.47045
concurrency_n20_20260612_220524_redis_feed14_rep1,redis,concurrency,20,data/processed/replay_plans/s2sf12/combined_plan.csv,2861.552267,3477.7305119999996,3503.77061,3507.546867,2942.673532177326,330.6270281146953,2436.0256,344,344,344,2239.4672499999997
concurrency_n20_20260612_220524_redis_feed19_rep1,redis,concurrency,20,data/processed/replay_plans/s2sf12/combined_plan.csv,3248.8563169999998,3732.508062,3774.912092,3786.368267,3265.8584170610466,307.9721041358762,2743.452,344,344,344,2697.5748000000003
concurrency_n20_20260612_220524_redis_feed17_rep1,redis,concurrency,20,data/processed/replay_plans/s2sf12/combined_plan.csv,4136.6759170000005,4600.320107,4625.814518,4630.331467,4115.517643514535,316.79288535347666,3583.9395,344,344,344,2187.1904
concurrency_n20_20260612_220524_redis_feed8_rep1,redis,concurrency,20,data/processed/replay_plans/s2sf12/combined_plan.csv,3237.613367,4147.1056069999995,4257.380775,4282.571567,3299.657829851744,535.0472843973188,2541.4736,344,344,344,2277.4091500000004
concurrency_n20_20260612_220524_redis_feed16_rep1,redis,concurrency,20,data/processed/replay_plans/s2sf12/combined_plan.csv,3098.080117,4551.873097,4637.636687,4648.881967,3323.739402816861,659.6282615476205,2408.283,344,344,344,2260.4957000000004
concurrency_n20_20260612_220524_redis_feed15_rep1,redis,concurrency,20,data/processed/replay_plans/s2sf12/combined_plan.csv,4518.522217,5266.031737,5305.689843,5360.364167,4407.276093805233,584.7245257892467,3252.8875,344,344,344,2655.0545
concurrency_n20_20260612_220524_redis_feed2_rep1,redis,concurrency,20,data/processed/replay_plans/s2sf12/combined_plan.csv,3583.194567,5047.559032,5148.526751,5158.324867,3824.7211033982553,688.6983697629411,2923.3353,344,344,344,1709.2059
concurrency_n20_20260612_220524_redis_feed11_rep1,redis,concurrency,20,data/processed/replay_plans/s2sf12/combined_plan.csv,3627.215767,4400.289287,4425.664222,4431.717167,3543.676056014535,589.5883121942246,2528.4919,344,344,344,2461.0691500000003
