campaign,cell,axis,level,rep,valid,invalid_reason,kept,discarded_zero,discarded_negative,most_negative_micros,zero_share,message_size_b,producer_rate,duration_min,warmup_min,load_pct,bootstrap,count_source,stdout_bytes,stdout_sha256,mtime_utc
load_sweep_nowarmup,l75_rep2,load_pct,75,2,1,,86429,4111,0,0,0.045405,200,500,3,0,75,10.0.1.221:19092,shutdown_hook,20012306,ded68a8e4b54678039bef26e1c1d3111e8f316301339d9db8e5a8dc38f39dc0b,2026-07-26T21:10:28Z
load_sweep_nowarmup,l75_rep3,load_pct,75,3,1,,68624,21887,0,0,0.241816,200,500,3,0,75,10.0.1.221:19092,shutdown_hook,19624958,ea6894c829fff853e9e02d057fac8aec53a2fecfe09c19e3fda60ce31b29a435,2026-07-26T21:19:02Z
load_sweep_nowarmup,l88_rep1,load_pct,88,1,1,,86142,4360,0,0,0.048176,200,500,3,0,88,10.0.1.221:19092,shutdown_hook,19709678,dea33ea2560b7030eddb4f23d280cdc23007d86e8f59945f709077f6e905f4e0,2026-07-26T21:27:38Z
load_sweep_nowarmup,l88_rep2,load_pct,88,2,1,,86263,4338,0,0,0.04788,200,500,3,0,88,10.0.1.221:19092,shutdown_hook,19773805,efe8b3cc81d869719e0ee4398786b77961bbd215156585bbecae9fe04d6cd626,2026-07-26T21:36:13Z
load_sweep_nowarmup,l88_rep3,load_pct,88,3,1,,85717,4702,0,0,0.052002,200,500,3,0,88,10.0.1.221:19092,shutdown_hook,19449445,1aa81b8b12e4921d81c6a6fbca1c09fa191c66f73af95584298f9045f9819898,2026-07-26T21:44:47Z
load_sweep_nowarmup,l95_rep1,load_pct,95,1,1,,86009,4569,0,0,0.050443,200,500,3,0,95,10.0.1.221:19092,shutdown_hook,19647667,b5c9d0e7781f8de54d05dc0b6c91a5ef97cfbb5c9f15580e9db15052ed6782dc,2026-07-26T21:53:21Z
load_sweep_nowarmup,l95_rep2,load_pct,95,2,1,,86690,3949,0,0,0.043568,200,500,3,0,95,10.0.1.221:19092,shutdown_hook,19924326,b4a32ddf8dc40287b01ee93425b0d1d777b929c6eb948571fbd17c392dcdabe0,2026-07-26T22:01:55Z
load_sweep_nowarmup,l95_rep3,load_pct,95,3,1,,85906,4527,0,0,0.050059,200,500,3,0,95,10.0.1.221:19092,shutdown_hook,19617457,d8c724a0f375c526106ab894c2e32a4fc8edb0c058e7982ddbea7045f9be1228,2026-07-26T22:10:30Z
load_sweep_p2,l0_rep1,load_pct,0,1,1,,120439,4,0,0,3.3e-05,200,500,3,1,0,10.0.1.221:19092,shutdown_hook,31485668,f2c199b6b110f6bd970e17369b84fa71c62094ac1d809f7ae61fab252277f84e,2026-07-26T18:01:00Z
load_sweep_p2,l0_rep2,load_pct,0,2,1,,116161,4318,0,0,0.03584,200,500,3,1,0,10.0.1.221:19092,shutdown_hook,30342125,492ed97ac7a8a680a5a329b2e64299cc5ec1602298ad6bdeea05d634077cf8c7,2026-07-26T18:09:32Z
load_sweep_p2,l0_rep3,load_pct,0,3,1,,120422,25,0,0,0.000208,200,500,3,1,0,10.0.1.221:19092,shutdown_hook,34165906,ccbc4d59bbe5a0d64453552b63216f228b346d7acaf1e403fa8804aa90e36661,2026-07-26T18:18:01Z
load_sweep_p2,l50_rep1,load_pct,50,1,1,,4494,115991,0,0,0.962701,200,500,3,1,50,10.0.1.221:19092,shutdown_hook,30624341,4e4dd5ec8d870e2c288cc27a9179debf965476c4a24a405b604efb2c42df4806,2026-07-26T18:26:35Z
load_sweep_p2,l50_rep2,load_pct,50,2,1,,5778,114754,0,0,0.952063,200,500,3,1,50,10.0.1.221:19092,shutdown_hook,31243076,6b55145e2ff9ca471d60a9620ffa33f17d6447fef044326cd33b02f02e8ec943,2026-07-26T18:35:09Z
load_sweep_p2,l50_rep3,load_pct,50,3,1,,119680,821,0,0,0.006813,200,500,3,1,50,10.0.1.221:19092,shutdown_hook,31166842,a7498e1873622dbdd254f0c7a0440a6b65c59a88ce6400f531dddcd4a07c6a0c,2026-07-26T18:43:43Z
load_sweep_p2,l75_rep1,load_pct,75,1,1,,114153,6386,0,0,0.052979,200,500,3,1,75,10.0.1.221:19092,shutdown_hook,28749070,f4df48b93720585d7170813899a970bffafa54b68a9b4b6ff77a4d8d272e6346,2026-07-26T18:52:18Z
load_sweep_p2,l75_rep2,load_pct,75,2,1,,114877,5770,0,0,0.047825,200,500,3,1,75,10.0.1.221:19092,shutdown_hook,35352376,613a7b3e085a58750992e66cc919be52299193cc3ee903375c4d25977ad3f466,2026-07-26T19:00:53Z
