bin_low_us,bin_high_us,ack,send,output_send,tti
54650,54700,2,7,7,48
54700,54750,4,11,11,32
54750,54800,3,14,13,28
54800,54850,6,5,6,30
54850,54900,4,11,11,49
54900,54950,5,5,4,32
54950,55000,2,5,6,40
55000,55050,7,7,7,43
55050,55100,5,5,5,44
55100,55150,3,4,4,46
55150,55200,2,9,9,29
55200,55250,5,6,6,30
55250,55300,7,3,3,37
55300,55350,6,10,9,25
55350,55400,4,10,11,31
55400,55450,5,11,10,36
55450,55500,3,6,7,36
55500,55550,5,5,5,30
55550,55600,6,8,7,20
55600,55650,4,2,2,22
55650,55700,5,5,6,16
55700,55750,5,9,9,24
55750,55800,6,4,4,10
55800,55850,1,5,5,14
55850,55900,2,1,1,20
55900,55950,5,2,2,10
55950,56000,1,3,3,22
56000,56050,2,6,5,17
56050,56100,5,6,7,16
56100,56150,5,4,4,18
56150,56200,2,4,3,8
56200,56250,0,2,3,6
56250,56300,4,5,5,13
56300,56350,3,5,4,21
56350,56400,4,11,11,9
56400,56450,4,2,3,20
56450,56500,3,5,5,11
56500,56550,3,3,3,17
56550,56600,6,11,11,7
56600,56650,1,1,1,7
56650,56700,3,4,4,7
56700,56750,4,8,8,8
56750,56800,4,6,6,6
56800,56850,3,5,5,8
56850,56900,1,1,1,13
56900,56950,2,4,4,14
56950,57000,4,2,2,8
57000,57050,4,6,6,6
57050,57100,5,5,5,3
57100,57150,8,2,2,8
57150,57200,5,4,4,8
57200,57250,1,5,5,8
57250,57300,7,5,5,7
57300,57350,3,5,5,5
57350,57400,6,5,5,6
57400,57450,4,10,10,6
57450,57500,8,1,1,10
57500,57550,5,10,10,1
57550,57600,3,7,7,3
57600,57650,4,2,2,4
57650,57700,3,12,11,4
57700,57750,4,2,3,4
57750,57800,9,3,3,5
57800,57850,7,6,6,6
57850,57900,4,6,6,4
57900,57950,5,8,8,3
57950,58000,7,4,4,6
58000,58050,5,7,7,6
58050,58100,3,5,5,5
58100,58150,6,4,4,6
58150,58200,5,8,8,8
58200,58250,5,3,3,9
58250,58300,4,2,2,8
58300,58350,4,5,5,11
58350,58400,3,5,5,7
58400,58450,6,5,5,6
58450,58500,5,8,8,12
58500,58550,7,2,2,8
58550,58600,2,3,3,15
58600,58650,3,4,4,8
58650,58700,2,4,3,6
58700,58750,4,2,3,4
58750,58800,6,4,4,10
58800,58850,9,6,6,8
58850,58900,3,5,5,5
58900,58950,3,3,3,11
58950,59000,3,5,5,6
59000,59050,3,5,5,6
59050,59100,3,4,4,5
59100,59150,2,5,5,7
59150,59200,6,4,4,7
59200,59250,5,3,3,7
59250,59300,9,3,3,2
59300,59350,2,6,5,5
59350,59400,5,3,4,5
59400,59450,5,7,7,6
59450,59500,5,4,4,10
59500,59550,3,4,4,5
59550,59600,1,3,3,2
59600,59650,2,6,5,6
59650,59700,4,4,4,5
59700,59750,4,7,7,12
59750,59800,2,6,7,4
59800,59850,3,8,8,6
59850,59900,6,3,3,3
59900,59950,1,9,9,4
59950,60000,6,5,4,4
60000,60050,8,8,9,9
60050,60100,2,5,5,4
60100,60150,7,3,2,8
60150,60200,5,3,3,8
60200,60250,3,7,7,5
60250,60300,6,8,9,5
60300,60350,5,6,6,2
60350,60400,6,5,5,6
60400,60450,4,2,1,11
60450,60500,3,7,8,6
60500,60550,3,6,6,4
60550,60600,7,2,2,3
60600,60650,6,6,6,4
60650,60700,5,6,6,8
60700,60750,4,5,4,6
60750,60800,1,3,3,9
60800,60850,2,7,7,6
60850,60900,2,1,1,4
60900,60950,1,3,2,4
60950,61000,8,5,6,8
61000,61050,3,4,4,5
61050,61100,7,3,3,10
61100,61150,11,6,6,4
61150,61200,26,4,4,6
61200,61250,25,23,21,5
61250,61300,24,19,14,3
61300,61350,19,43,36,4
61350,61400,11,51,46,2
61400,61450,10,47,57,7
61450,61500,10,41,38,5
61500,61550,5,45,38,5
61550,61600,6,29,39,3
61600,61650,6,26,26,4
61650,61700,9,23,29,8
61700,61750,2,22,23,2
61750,61800,5,6,8,4
61800,61850,5,8,7,5
61850,61900,8,2,4,6
61900,61950,5,4,4,5
61950,62000,3,3,3,9
62000,62050,4,4,3,5
62050,62100,5,2,3,10
62100,62150,2,7,7,3
62150,62200,2,3,2,6
62200,62250,4,3,4,7
62250,62300,0,7,6,6
62300,62350,4,5,6,5
62350,62400,3,5,5,6
62400,62450,4,5,4,12
62450,62500,5,5,6,3
62500,62550,4,4,3,6
62550,62600,4,8,9,11
62600,62650,0,5,5,5
62650,62700,4,2,2,3
62700,62750,7,6,6,5
62750,62800,3,9,9,13
62800,62850,9,2,2,17
62850,62900,3,6,6,22
62900,62950,9,2,2,43
62950,63000,2,2,2,30
63000,63050,8,6,5,28
63050,63100,7,5,6,20
63100,63150,4,4,4,25
63150,63200,6,4,4,20
63200,63250,4,1,1,15
63250,63300,1,2,2,21
63300,63350,4,2,2,10
63350,63400,7,4,4,8
63400,63450,5,5,5,8
63450,63500,1,1,1,8
63500,63550,3,6,6,11
63550,63600,3,3,3,4
63600,63650,3,7,5,4
63650,63700,3,5,7,5
63700,63750,2,5,5,5
63750,63800,6,5,5,7
63800,63850,4,9,8,8
63850,63900,5,5,6,9
63900,63950,2,4,4,12
63950,64000,2,4,4,10
64000,64050,5,6,6,13
64050,64100,3,1,1,24
64100,64150,4,0,0,8
64150,64200,7,3,3,8
64200,64250,4,5,5,14
64250,64300,4,4,4,21
64300,64350,5,5,5,7
64350,64400,6,6,6,4
64400,64450,1,4,4,1
64450,64500,6,0,0,5
64500,64550,2,5,4,9
64550,64600,6,2,3,9
64600,64650,5,3,3,2
64650,64700,3,3,3,6
64700,64750,2,5,5,5
64750,64800,3,3,3,4
64800,64850,4,8,8,6
64850,64900,6,3,3,9
64900,64950,1,3,3,9
64950,65000,3,1,1,8
65000,65050,2,4,4,9
65050,65100,3,1,1,9
65100,65150,5,2,2,13
65150,65200,3,3,3,13
65200,65250,2,6,6,5
65250,65300,6,5,5,6
65300,65350,6,4,4,7
65350,65400,3,3,3,8
65400,65450,2,4,4,2
65450,65500,2,6,6,4
65500,65550,2,6,5,7
65550,65600,5,3,4,6
65600,65650,3,2,2,6
65650,65700,4,4,4,4
65700,65750,2,3,3,6
65750,65800,1,4,4,6
65800,65850,6,4,4,4
65850,65900,4,4,4,4
65900,65950,2,2,2,7
65950,66000,5,5,5,2
66000,66050,2,4,4,3
66050,66100,6,2,2,4
66100,66150,3,3,3,2
66150,66200,5,2,2,4
66200,66250,0,1,0,3
66250,66300,1,5,5,11
66300,66350,3,2,3,5
66350,66400,2,1,1,6
66400,66450,5,5,5,2
66450,66500,2,4,4,6
66500,66550,5,4,4,4
66550,66600,3,6,6,8
66600,66650,7,3,3,2
66650,66700,3,6,6,4
66700,66750,4,1,1,2
66750,66800,4,3,3,3
66800,66850,4,5,5,3
66850,66900,4,4,4,2
66900,66950,3,1,1,3
66950,67000,6,2,2,2
67000,67050,3,3,3,2
67050,67100,2,6,6,2
67100,67150,3,5,5,1
67150,67200,7,2,2,5
67200,67250,2,1,1,4
67250,67300,2,2,2,7
67300,67350,1,3,3,2
67350,67400,1,5,5,8
67400,67450,1,3,3,1
67450,67500,0,4,4,3
67500,67550,3,2,2,5
67550,67600,1,2,2,2
67600,67650,3,4,4,3
