run_id,condition,gate,n_events,neg_ack,ms_deleted,over_0.1,over_0.25,over_0.5,over_1
concurrency_n12_20260724_062751_kafka_feed3_rep14,kafka_n12_feed3,pass,121,0,61,121,121,121,0
concurrency_n12_20260724_062751_kafka_feed3_rep15,kafka_n12_feed3,fail,121,5,45,121,121,121,5
concurrency_n12_20260724_062751_kafka_feed3_rep2,kafka_n12_feed3,pass,121,0,41,121,121,121,0
concurrency_n12_20260724_062751_kafka_feed3_rep3,kafka_n12_feed3,pass,121,1,62,121,121,121,1
concurrency_n12_20260724_062751_kafka_feed3_rep4,kafka_n12_feed3,pass,121,0,67,121,121,121,0
concurrency_n12_20260724_062751_kafka_feed3_rep5,kafka_n12_feed3,pass,121,0,48,121,121,121,0
concurrency_n12_20260724_062751_kafka_feed3_rep6,kafka_n12_feed3,pass,121,0,67,121,121,121,0
concurrency_n12_20260724_062751_kafka_feed3_rep7,kafka_n12_feed3,pass,121,0,60,121,121,121,0
concurrency_n12_20260724_062751_kafka_feed3_rep8,kafka_n12_feed3,pass,121,0,40,121,121,121,0
concurrency_n12_20260724_062751_kafka_feed3_rep9,kafka_n12_feed3,pass,121,0,55,121,121,121,0
concurrency_n12_20260724_062751_kafka_feed4_rep1,kafka_n12_feed4,pass,112,1,50,112,112,112,1
concurrency_n12_20260724_062751_kafka_feed4_rep10,kafka_n12_feed4,pass,112,1,50,112,112,112,1
concurrency_n12_20260724_062751_kafka_feed4_rep11,kafka_n12_feed4,pass,112,1,36,112,112,112,1
concurrency_n12_20260724_062751_kafka_feed4_rep12,kafka_n12_feed4,pass,112,1,55,112,112,112,1
concurrency_n12_20260724_062751_kafka_feed4_rep13,kafka_n12_feed4,pass,112,1,65,112,112,112,1
concurrency_n12_20260724_062751_kafka_feed4_rep14,kafka_n12_feed4,pass,112,1,43,112,112,112,1
concurrency_n12_20260724_062751_kafka_feed4_rep15,kafka_n12_feed4,pass,112,1,62,112,112,112,1
concurrency_n12_20260724_062751_kafka_feed4_rep2,kafka_n12_feed4,pass,112,1,49,112,112,112,1
concurrency_n12_20260724_062751_kafka_feed4_rep3,kafka_n12_feed4,fail,112,4,55,112,112,112,4
concurrency_n12_20260724_062751_kafka_feed4_rep4,kafka_n12_feed4,pass,112,1,49,112,112,112,1
concurrency_n12_20260724_062751_kafka_feed4_rep5,kafka_n12_feed4,pass,112,1,43,112,112,112,1
concurrency_n12_20260724_062751_kafka_feed4_rep6,kafka_n12_feed4,pass,112,1,45,112,112,112,1
concurrency_n12_20260724_062751_kafka_feed4_rep7,kafka_n12_feed4,pass,112,1,41,112,112,112,1
