t_wall_ns,pid,on_cpu_ns,wait_ns,slices,n_threads,schedstats_enabled
1784997993653639997,344492,637527867,1589756559,486,9,1
1784997993653639997,344493,629837753,1576267756,1550,9,1
1784997994166501636,344387,1973806435,2389629479,2095,2,1
1784997994166501636,344388,1417496845,2504701625,13267,1,1
1784997994166501636,344394,1745658458,2141125289,4957,2,1
1784997994166501636,344395,1592032676,2374902292,16367,1,1
1784997994166501636,344411,1537000777,2796992120,15070,1,1
1784997994166501636,344415,1766433504,2172195194,3486,2,1
1784997994166501636,344418,1672554776,3118853370,17480,1,1
1784997994166501636,344422,1940863755,2047106946,2560,2,1
1784997994166501636,344425,1693544623,2488444780,3089,2,1
1784997994166501636,344429,1336513322,2397290515,13461,1,1
1784997994166501636,344438,578425867,1522398316,616,12,1
1784997994166501636,344439,591221433,1339002873,946,14,1
1784997994166501636,344442,592634818,1492737753,897,12,1
1784997994166501636,344443,676163828,1582584215,1885,13,1
1784997994166501636,344445,605020074,1482620601,1118,13,1
1784997994166501636,344482,608547367,1087551969,536,9,1
1784997994166501636,344485,625325355,1530871829,1450,9,1
1784997994166501636,344489,566730148,1594308175,372,9,1
1784997994166501636,344492,637527867,1589756559,486,9,1
1784997994166501636,344493,631519256,1576267756,1554,9,1
1784997994678625689,344387,1974807618,2389629479,2096,2,1
1784997994678625689,344388,1417811076,2504701625,13268,1,1
1784997994678625689,344394,1746866581,2141125289,4959,2,1
1784997994678625689,344395,1592321199,2374902292,16368,1,1
1784997994678625689,344411,1537201278,2796992120,15071,1,1
1784997994678625689,344415,1767439784,2172195194,3487,2,1
1784997994678625689,344418,1672554776,3118853370,17480,1,1
1784997994678625689,344422,1942019369,2047106946,2561,2,1
1784997994678625689,344425,1694274548,2490593965,3090,2,1
1784997994678625689,344429,1337055194,2397388262,13465,1,1
1784997994678625689,344438,578425867,1522398316,616,12,1
1784997994678625689,344439,591221433,1339002873,946,14,1
1784997994678625689,344442,592634818,1492737753,897,12,1
1784997994678625689,344443,676163828,1582584215,1885,13,1
1784997994678625689,344445,606079082,1482652519,1136,13,1
1784997994678625689,344482,608547367,1087551969,536,9,1
1784997994678625689,344485,625325355,1530871829,1450,9,1
1784997994678625689,344489,568521916,1595090970,382,9,1
1784997994678625689,344492,639007277,1592009099,489,9,1
1784997994678625689,344493,631519256,1576267756,1554,9,1
1784997995196091748,344387,1976895461,2390623760,2098,2,1
1784997995196091748,344388,1417811076,2504701625,13268,1,1
1784997995196091748,344394,1747592190,2142939231,4960,2,1
1784997995196091748,344395,1592321199,2374902292,16368,1,1
1784997995196091748,344411,1537201278,2796992120,15071,1,1
1784997995196091748,344415,1768413034,2172195194,3488,2,1
1784997995196091748,344418,1673186154,3120452290,17484,1,1
1784997995196091748,344422,1942679549,2050093627,2562,2,1
1784997995196091748,344425,1696640126,2494333517,3092,2,1
1784997995196091748,344429,1337055194,2397388262,13465,1,1
1784997995196091748,344438,578425867,1522398316,616,12,1
1784997995196091748,344439,591221433,1339002873,946,14,1
1784997995196091748,344442,592634818,1492737753,897,12,1
1784997995196091748,344443,677059532,1587411557,1897,13,1
1784997995196091748,344445,606079082,1482652519,1136,13,1
1784997995196091748,344482,608547367,1087551969,536,9,1
1784997995196091748,344485,625325355,1530871829,1450,9,1
1784997995196091748,344489,568521916,1595090970,382,9,1
1784997995196091748,344492,639007277,1592009099,489,9,1
1784997995196091748,344493,632934250,1578915938,1564,9,1
1784997995718621248,344387,1977772537,2390955698,2099,2,1
1784997995718621248,344388,1418068212,2504701625,13269,1,1
1784997995718621248,344394,1749784389,2146064019,4962,2,1
1784997995718621248,344395,1592701570,2377522664,16369,1,1
1784997995718621248,344411,1537572815,2796992120,15073,1,1
1784997995718621248,344415,1769561045,2172522666,3490,2,1
1784997995718621248,344418,1673186154,3120452290,17484,1,1
1784997995718621248,344422,1944123635,2050093627,2563,2,1
1784997995718621248,344425,1698511303,2494333517,3093,2,1
1784997995718621248,344429,1337275295,2398717827,13466,1,1
1784997995718621248,344438,578425867,1522398316,616,12,1
