campaign,stamp,backend,run,median_ms
E-C4,inline,redis,concurrency_n2_20260724_152034_redis_feed1_rep7,0.091961
E-C4,inline,redis,concurrency_n2_20260724_152034_redis_feed1_rep8,0.118942
E-C4,inline,redis,concurrency_n2_20260724_152034_redis_feed1_rep9,0.105246
E-C4,inline,redis,concurrency_n2_20260724_152034_redis_feed2_rep1,0.143049
E-C4,inline,redis,concurrency_n2_20260724_152034_redis_feed2_rep10,0.110980
E-C4,inline,redis,concurrency_n2_20260724_152034_redis_feed2_rep11,0.144140
E-C4,inline,redis,concurrency_n2_20260724_152034_redis_feed2_rep12,0.109888
E-C4,inline,redis,concurrency_n2_20260724_152034_redis_feed2_rep13,0.106773
E-C4,inline,redis,concurrency_n2_20260724_152034_redis_feed2_rep14,0.098481
E-C4,inline,redis,concurrency_n2_20260724_152034_redis_feed2_rep15,0.110829
E-C4,inline,redis,concurrency_n2_20260724_152034_redis_feed2_rep2,0.116309
E-C4,inline,redis,concurrency_n2_20260724_152034_redis_feed2_rep3,0.139874
E-C4,inline,redis,concurrency_n2_20260724_152034_redis_feed2_rep4,0.103388
E-C4,inline,redis,concurrency_n2_20260724_152034_redis_feed2_rep5,0.109618
E-C4,inline,redis,concurrency_n2_20260724_152034_redis_feed2_rep6,0.104690
E-C4,inline,redis,concurrency_n2_20260724_152034_redis_feed2_rep7,0.131401
E-C4,inline,redis,concurrency_n2_20260724_152034_redis_feed2_rep8,0.097338
E-C4,inline,redis,concurrency_n2_20260724_152034_redis_feed2_rep9,0.161487
