t_wall,rho,loadavg
1784966249.4407392,0.745,6.81
1784966249.9412673,0.75561,6.81
1784966250.4420352,0.75188,6.81
1784966250.9428043,0.74564,6.81
1784966251.4452465,0.75931,6.81
1784966251.945983,0.74937,6.81
1784966252.4492934,0.75062,6.81
1784966252.9500902,0.75561,6.81
1784966253.4508605,0.7525,6.81
1784966253.9516182,0.7525,6.66
1784966254.4522777,0.78,6.66
1784966254.9542997,0.7581,6.66
1784966255.4550529,0.75,6.66
1784966255.9558084,0.74065,6.66
1784966256.4562547,0.7625,6.66
1784966256.9569945,0.7525,6.66
1784966257.4582455,0.74378,6.66
1784966257.9590144,0.7619,6.66
1784966258.459785,0.7469,6.66
1784966258.960259,0.75,6.69
1784966259.463252,0.76427,6.69
1784966259.9642184,0.74564,6.69
1784966260.4649882,0.75188,6.69
1784966260.9672375,0.75373,6.69
1784966261.4679735,0.74687,6.69
1784966261.968328,0.75062,6.69
1784966262.4692712,0.75561,6.69
1784966262.9702575,0.74813,6.69
1784966263.473255,0.75871,6.69
1784966263.9740324,0.75439,6.55
1784966264.4763203,0.77228,6.55
1784966264.9771247,0.75188,6.55
1784966265.4779007,0.74813,6.55
1784966265.9782584,0.75439,6.55
1784966266.4790378,0.755,6.55
1784966266.979887,0.745,6.55
1784966267.4802706,0.75373,6.55
1784966267.9810474,0.7594,6.55
1784966268.4818418,0.74378,6.55
1784966268.9842663,0.75062,6.59
1784966269.485033,0.76441,6.59
1784966269.985798,0.74314,6.59
1784966270.4872544,0.75062,6.59
1784966270.9880304,0.7606,6.59
1784966271.488781,0.75062,6.59
1784966271.9902587,0.76,6.59
1784966272.4910822,0.7425,6.59
1784966272.9919198,0.75373,6.59
1784966273.492314,0.75312,6.59
1784966273.993114,0.75,6.3
1784966274.4942539,0.74937,6.3
1784966274.9950223,0.7575,6.3
1784966275.4982502,0.74752,6.3
1784966275.9990265,0.745,6.3
1784966276.499837,0.7594,6.3
1784966277.000627,0.7581,6.3
1784966277.501394,0.74185,6.3
1784966278.0021768,0.7581,6.3
1784966278.5030262,0.75312,6.3
1784966279.006256,0.75,6.28
1784966279.5070112,0.755,6.28
1784966280.0082514,0.7525,6.28
1784966280.5090046,0.755,6.28
1784966281.0102594,0.74194,6.28
1784966281.5110297,0.75439,6.28
1784966282.0122662,0.75186,6.28
1784966282.513052,0.75126,6.28
1784966283.0142772,0.7581,6.28
1784966283.5150478,0.74314,6.28
1784966284.0162683,0.75561,6.18
1784966284.5170507,0.7575,6.18
1784966285.0178323,0.75124,6.18
1784966285.5202568,0.74876,6.18
1784966286.0210397,0.76884,6.18
1784966286.5218132,0.8425,6.18
1784966287.022241,0.855,6.18
1784966287.5229926,0.8665,6.18
1784966288.0238054,0.86216,6.18
1784966288.5246077,0.7825,6.18
1784966289.027279,0.7469,6.0
1784966289.528094,0.755,6.0
1784966290.0288677,0.75062,6.0
1784966290.5296566,0.7825,6.0
1784966291.0302966,0.755,6.0
1784966291.5313401,0.7581,6.0
1784966292.0321603,0.75124,6.0
1784966292.5329356,0.745,6.0
1784966293.0362775,0.75931,6.0
1784966293.5370789,0.75,6.0
1784966294.0379446,0.7475,6.08
1784966294.539344,0.75622,6.08
1784966295.0401812,0.755,6.08
1784966295.5409803,0.7475,6.08
1784966296.0442777,0.75743,6.08
1784966296.5450358,0.75,6.08
1784966297.0458038,0.7475,6.08
1784966297.549271,0.76427,6.08
1784966298.0500817,0.74185,6.08
1784966298.550873,0.75622,6.08
1784966299.0516741,0.75439,5.99
1784966299.5542676,0.74938,5.99
1784966300.0550833,0.7525,5.99
1784966300.5558925,0.75312,5.99
1784966301.0572724,0.7581,5.99
1784966301.558052,0.74314,5.99
1784966302.05886,0.75,5.99
1784966302.5612297,0.77307,5.99
1784966303.0619817,0.8392,5.99
1784966303.562836,0.8675,5.99
1784966304.0662444,0.85608,6.31
1784966304.5670261,0.78446,6.31
1784966305.0678174,0.75312,6.31
1784966305.5686305,0.75124,6.31
1784966306.0692692,0.7575,6.31
1784966306.5712838,0.75124,6.31
1784966307.072083,0.75439,6.31
1784966307.5732942,0.74314,6.31
1784966308.074291,0.75124,6.31
1784966308.5750632,0.75439,6.31
1784966309.07725,0.74876,6.29
1784966309.578039,0.75312,6.29
1784966310.0788443,0.755,6.29
1784966310.5792503,0.74813,6.29
1784966311.0800438,0.75439,6.29
1784966311.5808568,0.75062,6.29
1784966312.081293,0.75062,6.29
1784966312.584277,0.75373,6.29
1784966313.0850978,0.75062,6.29
1784966313.5872865,0.75561,6.29
1784966314.0881157,0.74627,6.19
1784966314.5889199,0.7575,6.19
1784966315.08934,0.7575,6.19
1784966315.590236,0.74627,6.19
