slot_ts,n_matches,competitions
2008-09-24 20:00:00,1,La Liga
2008-09-27 22:00:00,1,La Liga
2008-10-04 22:00:00,1,La Liga
2008-10-25 22:00:00,1,La Liga
2008-11-01 20:00:00,1,La Liga
2008-11-08 22:00:00,1,La Liga
2008-11-16 21:00:00,1,La Liga
2008-11-29 22:00:00,1,La Liga
2008-12-06 22:00:00,1,La Liga
2008-12-13 22:00:00,1,La Liga
2008-12-21 19:00:00,1,La Liga
2009-01-11 21:00:00,1,La Liga
2009-01-17 20:00:00,1,La Liga
2009-01-24 22:00:00,1,La Liga
2009-02-01 17:00:00,1,La Liga
2009-02-08 19:00:00,1,La Liga
2009-02-14 20:00:00,1,La Liga
2009-02-21 20:00:00,1,La Liga
2009-03-01 19:00:00,1,La Liga
2009-03-07 20:00:00,1,La Liga
2009-03-15 21:03:00,1,La Liga
2009-03-22 19:00:00,1,La Liga
2009-04-04 20:00:00,1,La Liga
2009-04-11 20:00:00,1,La Liga
2009-04-18 20:00:00,1,La Liga
2009-04-25 22:00:00,1,La Liga
2009-05-02 20:00:00,1,La Liga
2009-05-10 19:03:00,1,La Liga
2009-05-27 20:45:00,1,Champions League
2009-09-12 18:00:00,1,La Liga
2009-09-19 22:00:00,1,La Liga
2009-09-22 22:00:00,1,La Liga
2009-09-26 20:00:00,1,La Liga
2009-10-03 20:00:00,1,La Liga
2009-10-17 22:00:00,1,La Liga
2009-10-25 21:00:00,1,La Liga
2009-10-31 20:00:00,1,La Liga
2009-11-07 20:00:00,1,La Liga
2009-11-21 22:00:00,1,La Liga
2009-11-29 19:00:00,1,La Liga
2009-12-02 22:00:00,1,La Liga
2009-12-05 22:00:00,1,La Liga
2010-01-10 21:00:00,1,La Liga
2010-01-16 22:00:00,1,La Liga
2010-01-23 20:00:00,1,La Liga
2010-01-30 20:00:00,1,La Liga
2010-02-06 20:00:00,1,La Liga
2010-02-14 21:00:00,1,La Liga
2010-02-20 20:00:00,1,La Liga
2010-02-27 22:00:00,1,La Liga
2010-03-06 20:00:00,1,La Liga
2010-03-14 19:00:00,1,La Liga
2010-03-21 21:00:00,1,La Liga
2010-03-24 20:00:00,1,La Liga
2010-03-27 20:00:00,1,La Liga
2010-04-03 20:00:00,1,La Liga
2010-04-10 22:00:00,1,La Liga
2010-04-14 22:00:00,1,La Liga
2010-04-17 20:00:00,1,La Liga
2010-04-24 18:00:00,1,La Liga
2010-05-01 22:00:00,1,La Liga
2010-05-04 20:00:00,1,La Liga
2010-05-08 21:00:00,1,La Liga
2010-05-16 19:00:00,1,La Liga
2010-05-22 20:45:00,1,Champions League
2010-08-29 19:00:00,1,La Liga
2010-09-11 18:00:00,1,La Liga
2010-09-19 19:00:00,1,La Liga
2010-10-03 19:00:00,1,La Liga
2010-10-16 20:00:00,1,La Liga
2010-10-23 18:00:00,1,La Liga
2010-10-30 22:00:00,1,La Liga
2010-11-07 19:00:00,1,La Liga
2010-11-13 22:00:00,1,La Liga
2010-11-20 20:00:00,1,La Liga
